gender,actor,director
male,197059,61898
female,154178,19986
trans woman,337,69
non-binary,185,53
trans man,65,25
male organism,30,NA
genderfluid,25,4
female organism,15,NA
travesti,11,1
genderqueer,10,3
intersex,8,5
transfeminine,5,3
agender,4,1
transgender,4,2
cisgender man,3,NA
cisgender woman,3,3
gay,3,NA
intersex woman,3,2
two-spirit,3,4
bigender,2,1
transmasculine,2,NA
intersex person,1,NA
kathoey,1,NA
takatāpui,1,NA
third gender,1,NA
undisclosed gender,1,NA
demigirl,NA,1
māhū,NA,1
