QID,value,updated
Q134455406,Rapper,2025-05-13T18:24:42Z
Q134455406,Italy,2025-05-13T18:24:42Z
Q133209309,www.imdb.com/user/ur197983367/?ref_=nv_usr_prof_2,2025-04-05T18:18:23Z
Q133567370,imdb.com/name/nm17034934/?ref_=ext_shr_lnk,2025-04-02T12:54:54Z
Q131107594,user/ur191308287/,2025-04-04T18:44:58Z
Q133838479,https://www.imdb.com/it/title/tt5691682/characters/nm8121034/,2025-04-08T21:26:54Z
Q134292329,Shadi Ahadifar,2025-05-09T21:41:52Z
Q134322889,www.imdb.com/user/ur200804609/,2025-05-13T20:53:48Z
